rank,CHP_ID,Chinese_herbal_pieces,comprehensive_score,total_score,effective_avg,high_quality_avg,ultra_high_count,high_quality_ratio
961,CHP02371,柳穿鱼,0.3787498941493069,6.7701119300000006,0.752234658888889,0.8679255233333333,0.0,0.3333333333333333
962,CHP04477,细茎石斛,0.37864959229733874,3.01521398,0.753803495,0.9379338,1.0,0.25
963,CHP03317,荛花,0.37862541429924973,3.83741446,0.7674828920000001,0.81227337,0.0,0.4
964,CHP00849,豆油,0.37848437555792325,6.779695060000001,0.677969506,0.8908296925,0.0,0.4
965,CHP02501,罗汉松叶,0.3784604315876646,6.558312379999999,0.7287013755555555,0.8872448000000001,1.0,0.3333333333333333
966,CHP01543,槲寄生,0.37820539918428986,43.62030722,0.7150870036065574,0.8448120542857142,2.0,0.22950819672131148
967,CHP03979,苏木,0.3781235100625518,36.66018847,0.7332037694,0.8346776707692308,0.0,0.26
968,CHP01007,防风,0.37800435562561263,27.16764505,0.714938027631579,0.8400759941666668,1.0,0.3157894736842105
969,CHP03803,鼠李,0.37795337573181026,4.56178782,0.76029797,0.8635741450000001,0.0,0.3333333333333333
970,CHP03124,破布木,0.37775463038541085,3.75917797,0.751835594,0.8238393500000001,0.0,0.4
971,CHP02658,猫爪草,0.3776648093902068,14.605787699999999,0.6638994409090908,0.8597057277777778,2.0,0.4090909090909091
972,CHP03050,欧当归,0.3775947002020167,2.14753474,0.7158449133333334,0.9111412,1.0,0.3333333333333333
973,CHP01930,金牛草,0.3775024240981817,13.06137915,0.6874410078947368,0.83877151375,0.0,0.42105263157894735
974,CHP03051,欧活血丹,0.377244895480043,5.35641134,0.6695514175,0.8230095675,0.0,0.5
975,CHP05964,牛肾,0.3771918956260921,4.34637034,0.7243950566666667,0.89291557,1.0,0.3333333333333333
976,CHP01159,杠香藤,0.3771539663724031,2.2984535,0.7661511666666666,0.8616101,0.0,0.3333333333333333
977,CHP00731,棣棠花,0.3770884732601586,9.1927128,0.7660594000000001,0.8928431966666666,2.0,0.25
978,CHP03321,人参芦,0.3768775453188619,1.1031407,0.55157035,0.950469,1.0,0.5
979,CHP01342,海南买麻藤,0.37683440796475015,9.24236167,0.7109508976923077,0.8490515139999999,1.0,0.38461538461538464
980,CHP03753,石蒜,0.3767107511193011,11.12806473,0.695504045625,0.8610165399999999,2.0,0.375
981,CHP01614,桦树皮,0.37666992219432377,3.61075882,0.722151764,0.84861678,0.0,0.4
982,CHP04822,萱草根,0.37647766117826637,3.67611459,0.7352229180000001,0.8343566,0.0,0.4
983,CHP00902,断节参,0.3762953975617397,2.30334759,0.76778253,0.85566884,0.0,0.3333333333333333
984,CHP00350,常山,0.3757067033186423,43.00373035,0.641846721641791,0.8713364772222222,4.0,0.26865671641791045
985,CHP03263,清风藤,0.3756607397593711,7.2320924600000005,0.6574629509090909,0.851228004,1.0,0.45454545454545453
986,CHP04888,亚麻子,0.37546897052519157,2.78930846,0.697327115,0.9792942,1.0,0.25
987,CHP00044,芭蕉花,0.37541726833013944,6.68402716,0.7426696844444445,0.8576226433333334,1.0,0.3333333333333333
988,CHP02239,老鼠瓜,0.3751640295762178,3.6063766,0.7212753199999999,0.8419790300000001,0.0,0.4
989,CHP04904,岩败酱,0.3748796715485346,2.2680820400000004,0.7560273466666668,0.86046827,0.0,0.3333333333333333
990,CHP04960,羊角棉,0.3746000517336298,1.2747232899999998,0.6373616449999999,0.85619706,0.0,0.5
991,CHP03342,肉豆蔻,0.3745605219924396,36.746577970000004,0.6446768064912282,0.8781875526666668,7.0,0.2631578947368421
992,CHP04374,无患子皮,0.37445476002612677,3.38859463,0.677718926,0.8827479,0.0,0.4
993,CHP02096,苦碟子,0.37417412892435825,1.37898184,0.68949092,0.8015749,0.0,0.5
994,CHP05283,玉兰,0.37415093320388376,30.496877640000008,0.6931108554545456,0.846287113076923,1.0,0.29545454545454547
995,CHP05881,鸡内金,0.37408704383420127,2.19649236,0.7321641200000001,0.8806178,0.0,0.3333333333333333
996,CHP01916,金鸡纳,0.37391811132489056,17.70712566,0.7377969025,0.8513462257142858,0.0,0.2916666666666667
997,CHP02015,救必应,0.3738119041871965,6.78471292,0.753856991111111,0.8415623666666666,0.0,0.3333333333333333
998,CHP04903,岩白菜,0.3736962298860263,2.35637311,0.7854577033333333,0.82481307,0.0,0.3333333333333333
